model,run_id,n,TP,FP,TN,FN,mean_inference_cost,accuracy,fp_rate_all,fn_rate_all,R,lambda,expected_cost
gpt-5-mini,local-local2105,1112,567,5,478,62,0.0012723268884891972,0.939748201438849,0.0044964028776978415,0.05575539568345324,0.2,0.186,0.003697686600719413
gpt-5-nano,local-local2105,1112,524,5,478,105,0.00032557448291366595,0.9010791366906474,0.0044964028776978415,0.09442446043165467,0.2,0.186,0.003949675202338126
gpt-5.1,local-local2105,1112,614,16,467,15,0.00531488365557553,0.9721223021582733,0.014388489208633094,0.013489208633093525,0.2,0.186,0.00796326495053956
gpt-5,local-local2105,1112,626,21,462,3,0.006520885791366895,0.9784172661870504,0.018884892086330936,0.002697841726618705,0.2,0.186,0.00953167715827337
gpt-4.1-mini,local-local2105,1112,358,2,481,271,0.0018732654676258968,0.7544964028776978,0.0017985611510791368,0.24370503597122303,0.2,0.186,0.009706898561151077
gpt-5.2,local-local2105,1112,622,16,467,7,0.008409637589928042,0.97931654676259,0.014388489208633094,0.006294964028776978,0.2,0.186,0.010834997302158257
gpt-4.1-nano,local-local2105,1112,431,49,434,198,0.000692746717625895,0.7778776978417267,0.044064748201438846,0.17805755395683454,0.2,0.186,0.013042566861510787
gpt-5.4,local-local2105,1112,614,18,465,15,0.011509206384892078,0.9703237410071942,0.01618705035971223,0.013489208633093525,0.2,0.186,0.014436364658273373
