model,baseline,current,n_comparisons,bonferroni,n,a,b,c,d,acc1,acc2,delta,ndis,discordance,p,alert_raw,alert_bonf,alert_bonf_floor,alert_3pp,alert_5pp
claude-haiku-4-5,2026-03-08,2026-06-01,22,0.002272727272727273,298,248,3,5,42,0.8422818791946308,0.8489932885906041,0.006711409395973154,8,0.026845637583892617,0.85546875,0,0,0,0,0
claude-haiku-4-5,2026-03-08,2026-06-08,22,0.002272727272727273,299,249,3,6,41,0.842809364548495,0.8528428093645485,0.010033444816053512,9,0.030100334448160536,0.91015625,0,0,0,0,0
claude-haiku-4-5,2026-03-08,2026-06-15,22,0.002272727272727273,298,247,4,7,40,0.8422818791946308,0.8523489932885906,0.010067114093959731,11,0.03691275167785235,0.88671875,0,0,0,0,0
claude-haiku-4-5,2026-03-08,2026-06-22,22,0.002272727272727273,298,245,6,3,44,0.8422818791946308,0.8322147651006712,-0.010067114093959731,9,0.030201342281879196,0.25390625,0,0,0,0,0
claude-haiku-4-5,2026-03-08,2026-06-29,22,0.002272727272727273,299,248,4,6,41,0.842809364548495,0.8494983277591973,0.006688963210702341,10,0.033444816053511704,0.828125,0,0,0,0,0
claude-haiku-4-5,2026-03-08,2026-07-06,22,0.002272727272727273,298,247,4,2,45,0.8422818791946308,0.8355704697986577,-0.006711409395973154,6,0.020134228187919462,0.34375,0,0,0,0,0
claude-haiku-4-5,2026-03-08,2026-07-09,22,0.002272727272727273,297,245,5,6,41,0.8417508417508418,0.8451178451178452,0.003367003367003367,11,0.037037037037037035,0.7255859375,0,0,0,0,0
claude-haiku-4-5,2026-03-08,2026-07-13,22,0.002272727272727273,298,247,4,6,41,0.8422818791946308,0.8489932885906041,0.006711409395973154,10,0.03355704697986577,0.828125,0,0,0,0,0
claude-haiku-4-5,2026-03-08,2026-07-20,22,0.002272727272727273,299,248,4,5,42,0.842809364548495,0.8461538461538461,0.0033444816053511705,9,0.030100334448160536,0.74609375,0,0,0,0,0
claude-haiku-4-5,2026-03-08,2026-07-27,22,0.002272727272727273,298,246,5,5,42,0.8422818791946308,0.8422818791946308,0.0,10,0.03355704697986577,0.623046875,0,0,0,0,0
claude-opus-4-8,2026-07-09,2026-07-13,3,0.016666666666666666,300,278,3,1,18,0.9366666666666666,0.93,-0.006666666666666667,4,0.013333333333333334,0.3125,0,0,0,0,0
claude-opus-4-8,2026-07-09,2026-07-20,3,0.016666666666666666,299,278,2,2,17,0.9364548494983278,0.9364548494983278,0.0,4,0.013377926421404682,0.6875,0,0,0,0,0
claude-opus-4-8,2026-07-09,2026-07-27,3,0.016666666666666666,300,277,4,1,18,0.9366666666666666,0.9266666666666666,-0.01,5,0.016666666666666666,0.1875,0,0,0,0,0
claude-sonnet-4-5,2026-03-08,2026-03-10,22,0.002272727272727273,298,260,6,1,31,0.8926174496644296,0.8758389261744967,-0.016778523489932886,7,0.02348993288590604,0.0625,0,0,0,0,0
claude-sonnet-4-5,2026-03-08,2026-03-16,22,0.002272727272727273,295,261,2,5,27,0.8915254237288136,0.9016949152542373,0.010169491525423728,7,0.023728813559322035,0.9375,0,0,0,0,0
claude-sonnet-4-5,2026-03-08,2026-03-22,22,0.002272727272727273,264,233,4,6,21,0.8977272727272727,0.9053030303030303,0.007575757575757576,10,0.03787878787878788,0.828125,0,0,0,0,0
claude-sonnet-4-5,2026-03-08,2026-04-01,22,0.002272727272727273,266,236,3,5,22,0.8984962406015038,0.9060150375939849,0.007518796992481203,8,0.03007518796992481,0.85546875,0,0,0,0,0
claude-sonnet-4-5,2026-03-08,2026-04-06,22,0.002272727272727273,297,260,5,5,27,0.8922558922558923,0.8922558922558923,0.0,10,0.03367003367003367,0.623046875,0,0,0,0,0
claude-sonnet-4-5,2026-03-08,2026-04-13,22,0.002272727272727273,298,263,3,5,27,0.8926174496644296,0.8993288590604027,0.006711409395973154,8,0.026845637583892617,0.85546875,0,0,0,0,0
claude-sonnet-4-5,2026-03-08,2026-04-20,22,0.002272727272727273,298,259,7,6,26,0.8926174496644296,0.889261744966443,-0.003355704697986577,13,0.0436241610738255,0.5,0,0,0,0,0
claude-sonnet-4-5,2026-03-08,2026-04-27,22,0.002272727272727273,299,260,7,3,29,0.8929765886287625,0.8795986622073578,-0.013377926421404682,10,0.033444816053511704,0.171875,0,0,0,0,0
claude-sonnet-4-5,2026-03-08,2026-05-04,22,0.002272727272727273,297,260,6,5,26,0.8956228956228957,0.8922558922558923,-0.003367003367003367,11,0.037037037037037035,0.5,0,0,0,0,0
