model,balanced_accuracy
claude-haiku-4-5,0.8607607033639144
claude-sonnet-4-5,0.9022545662100456
claude-sonnet-4-6,0.901683789954338
gpt-4.1-mini,0.8735341365461847
gpt-4.1-nano,0.753413654618474
gpt-5,0.9179999999999999
gpt-5-mini,0.912
gpt-5-nano,0.9016867469879518
gpt-5.1,0.9179999999999999
gpt-5.2,0.9099999999999999
gpt-5.4,0.896
