model,f1
claude-haiku-4-5,0.8933002481389578
claude-sonnet-4-5,0.9408983451536643
claude-sonnet-4-6,0.9752808988764045
gpt-4.1-mini,0.8662131519274376
gpt-4.1-nano,0.8091954022988506
gpt-5,0.9822485207100592
gpt-5-mini,0.9416666666666667
gpt-5-nano,0.911062906724512
gpt-5.1,0.9740518962075848
gpt-5.2,0.9822485207100592
gpt-5.4,0.9763779527559056
