model,precision
claude-haiku-4-5,0.972972972972973
claude-sonnet-4-5,0.9754901960784313
claude-sonnet-4-6,0.9601769911504425
gpt-4.1-mini,0.9947916666666666
gpt-4.1-nano,0.946236559139785
gpt-5,0.9688715953307393
gpt-5-mini,0.9826086956521739
gpt-5-nano,0.9905660377358491
gpt-5.1,0.9721115537848606
gpt-5.2,0.9651162790697675
gpt-5.4,0.9612403100775194
