model,pr_auc
claude-haiku-4-5,0.9707590946123057
claude-sonnet-4-5,0.979536181103194
claude-sonnet-4-6,0.979267603881619
gpt-4.1-mini,0.977919936434702
gpt-4.1-nano,0.9486055127836842
gpt-5,0.9841024643320363
gpt-5-mini,0.983304347826087
gpt-5-nano,0.9821871571602241
gpt-5.1,0.9840557768924303
gpt-5.2,0.9825581395348837
gpt-5.4,0.979953488372093
